campaign_length,total_pledged,SUM(pledged)/SUM(goal),count,SUM(backers),outcome
91,36728.67,1.1479076102498453,7,626,successful
90,218071.55999999997,1.1386062393943348,31,2544,successful
89,26806.48,1.4892488888888888,4,420,successful
88,13590.37,1.359037,2,171,successful
87,4473,1.065,2,66,successful
86,8824.23,1.357573846153846,2,164,successful
85,4535,1.5116666666666667,1,72,successful
84,2031.13,1.0690157894736843,2,32,successful
82,1525,1.0166666666666666,1,24,successful
81,7187,1.1056923076923078,2,141,successful
77,9028,1.0621176470588236,2,86,successful
76,15110.83,1.511083,1,196,successful
75,4113,1.1425,1,40,successful
72,6089,1.2178,1,79,successful
71,87407.78,14.567963333333333,1,1159,successful
70,25299.99,1.686666,1,1178,successful
69,5095,1.019,1,52,successful
68,6162,1.027,1,126,successful
67,1720,1.1466666666666667,1,34,successful
66,55009.16,1.1001832,6,465,successful
65,6359.96,1.3977934065934066,4,112,successful
64,25856.01,1.1752731818181819,2,405,successful
63,36128,1.152408293460925,4,444,successful
62,21063.14,1.1203797872340424,7,291,successful
61,27696.010000000002,1.1686080168776372,8,408,successful
60,4747619.24,2.262057423321396,247,51649,successful
59,225322.80999999997,4.037764598679122,14,2032,successful
58,726849.7400000001,7.489678079228943,12,8599,successful
57,239803.09000000003,3.2853073168112,6,5357,successful
56,49543.49,1.2924157184662604,6,914,successful
55,467914.33,3.6939043839357737,12,12783,successful
54,216415.52,1.1931844282735318,16,2606,successful
53,127908.16,1.117269766049552,13,1599,successful
52,22424.38,1.1245927783350051,7,372,successful
51,91322.1,1.6473693296540768,11,1575,successful
50,576792.8300000001,2.073095234715001,32,9137,successful
49,803750.96,6.17769243498558,13,3012,successful
48,53542.13,1.1626955483170467,13,922,successful
47,116397.19,1.0912156426351245,15,1258,successful
46,938598.23,2.7778607513727955,28,5925,successful
45,8231646.320000002,2.508691844823746,210,95214,successful
44,2340828.66,7.046468070360025,19,22205,successful
43,2508311.41,4.651148587231401,24,28322,successful
42,1486441.3400000003,3.2006701496672187,35,15082,successful
41,438713.92,1.5854307189842927,37,4904,successful
40,4265766.629999999,2.536705254962399,118,38248,successful
39,597640,1.3613197010937002,32,8093,successful
38,925849.1599999997,1.5115155681673564,48,7233,successful
37,1606715.4799999997,2.356483106267417,55,14357,successful
36,2346543.94,3.3381469274110107,64,30400,successful
35,9453875.31,3.1561271883018054,150,145016,successful
34,795937.9300000002,1.3609690355912094,54,11139,successful
33,3300065.95,3.1999584188258674,103,27385,successful
32,3162096.38,1.9674016828287644,143,38481,successful
31,7208691.329999998,2.0902458610468164,274,112208,successful
30,42462482.95000004,1.9216661724616744,2108,524119,successful
29,2513729.0800000005,2.064698543906206,117,37678,successful
28,6046595.55,5.489618973624616,116,74687,successful
27,525297.97,1.6097955934762846,59,8192,successful
26,322267.22,1.2654455426105464,49,5602,successful
25,1521935.1400000004,2.702297258299616,109,28030,successful
24,823235.9300000002,2.0807364039655316,61,15277,successful
23,580506.87,1.6152628765396153,49,8141,successful
22,904204.94,2.48728427561886,57,13673,successful
21,806839.4,1.5736867919767037,127,11652,successful
20,733413.2099999998,1.6536359912193372,119,11890,successful
19,706550.38,5.655169096308386,16,4599,successful
18,146617.91999999998,1.818614732253494,29,1862,successful
17,118924.97000000002,1.3935101372102512,26,2411,successful
16,360552.72000000003,2.2162116178155147,44,5766,successful
15,452902.1599999999,1.5882039336702707,86,8142,successful
14,278259.75000000006,1.5581351346629555,67,5168,successful
13,45202.94,1.7353495350179973,16,1860,successful
12,49947.88,1.5788863431756337,20,1061,successful
11,20811.3,1.3419121795586861,7,489,successful
10,195861.72999999998,2.2795814573643116,45,3737,successful
9,32501.68,3.1102413518228422,14,612,successful
8,70999.78,1.9420766991377425,12,1378,successful
7,181099.44,2.377126589798564,36,6908,successful
6,3963.12,1.4457135144402817,4,83,successful
5,78297.40000000001,1.338648897663818,11,943,successful
4,7514,11.740625,3,1164,successful
3,1943,2.8573529411764707,1,54,successful
2,13165.66,26.331319999999998,2,135,successful
1,840,1.3548387096774193,3,55,successful
