id,name,total_backers
14,"Tabletop Games",247120
8,"Product Design",221931
44,"Video Games",141052
40,Web,112658
36,Hardware,65241
9,Documentary,57090
2,"Narrative Film",57026
39,Gadgets,45413
3,Music,37307
58,Technology,36503
24,Animation,28260
137,"Space Exploration",24240
18,Fashion,23886
6,Food,23767
11,"Indie Rock",22434
89,"Graphic Design",22206
21,Comics,20628
4,"Film & Video",20309
10,Nonfiction,17702
47,Shorts,17601
74,"Children's Books",16327
23,Webseries,15681
70,"Playing Cards",15511
103,"DIY Electronics",14255
46,Publishing,13875
15,Design,13679
20,Theater,13111
31,Art,12861
52,Apparel,12803
79,"Graphic Novels",12683
17,"Art Books",11213
33,Fiction,11190
16,"Comic Books",10805
91,"Country & Folk",10253
92,Wearables,10137
35,Rock,10134
112,"Science Fiction",9947
28,Photography,9917
34,Accessories,8482
26,"Public Art",8352
12,Crafts,6120
110,Webcomics,6009
61,Photobooks,5733
13,Games,5721
27,Illustration,5654
45,Anthologies,5527
7,Drinks,5500
94,Journalism,5387
88,"Classical Music",5205
29,Pop,5115
49,"Radio & Podcasts",4878
50,Apps,4806
41,Jazz,4771
57,Dance,4505
54,Comedy,4272
100,"Small Batch",3954
19,Childrenswear,3595
97,"Digital Art",3592
56,Periodicals,3463
83,Sound,3461
5,Restaurants,3396
82,Sculpture,3382
98,Horror,3357
60,"World Music",3267
126,"3D Printing",2894
76,"Performance Art",2808
125,Footwear,2777
37,Software,2749
62,Drama,2636
93,"Mixed Media",2611
78,Vegan,2448
59,Painting,2287
121,Faith,2144
146,"Interactive Design",2133
118,Plays,2131
48,"Electronic Music",2003
106,Jewelry,1998
105,"Camera Equipment",1832
140,Robots,1777
80,"Fabrication Tools",1720
1,Poetry,1659
87,Events,1614
101,Installations,1456
116,Calendars,1396
55,Hip-Hop,1395
81,Performances,1365
107,Farms,1359
63,Architecture,1338
67,Flight,1335
53,Metal,1268
90,Spaces,1252
109,Fantasy,1251
155,"Literary Journals",1205
115,"Music Videos",1084
25,"Food Trucks",1075
30,People,1039
111,Experimental,1036
129,Musical,1027
136,Television,994
99,Knitting,975
43,Festivals,973
127,Academic,944
68,"Fine Art",861
22,DIY,811
151,Printing,758
108,"Conceptual Art",756
71,Makerspaces,730
122,"Live Games",712
64,"Young Adult",677
85,Print,677
153,"Civic Design",672
114,R&B,663
128,Zines,663
72,Punk,595
77,Ceramics,582
66,"Mobile Games",580
123,Woodworking,554
154,Kids,550
51,Cookbooks,515
134,"Gaming Hardware",506
132,Immersive,477
113,Puzzles,469
73,Thrillers,456
42,Ready-to-wear,421
145,Pottery,370
84,Stationery,353
102,"Community Gardens",332
86,"Farmer's Markets",294
120,Bacon,291
141,Typography,286
133,Letterpress,235
32,Family,229
147,"Video Art",227
150,"Pet Fashion",223
124,Places,216
69,Action,208
138,Couture,199
96,Animals,163
95,"Movie Theaters",155
152,Romance,137
119,Blues,123
38,Weaving,119
117,Video,116
159,Residencies,88
139,Nature,80
130,Workshops,64
143,Translations,62
104,Embroidery,28
148,Quilts,28
135,Candles,25
156,Taxidermy,24
144,Textiles,23
142,Crochet,16
75,Audio,14
65,Latin,13
131,Photo,12
149,Glass,2
