id,name,total_raised
8,"Product Design",21111581.59
14,"Tabletop Games",18827697.39
44,"Video Games",7811750.92
36,Hardware,7038358.15
40,Web,5853042.09
9,Documentary,5479671.00
2,"Narrative Film",4375366.16
58,Technology,3994737.82
39,Gadgets,3357941.52
3,Music,2702559.94
6,Food,2636921.08
24,Animation,2223269.80
18,Fashion,2179472.79
4,"Film & Video",2164421.69
82,Sculpture,2032694.88
47,Shorts,1623536.92
103,"DIY Electronics",1613443.13
52,Apparel,1366232.22
137,"Space Exploration",1316198.56
89,"Graphic Design",1313492.55
11,"Indie Rock",1229159.49
10,Nonfiction,1134856.79
126,"3D Printing",1068278.23
21,Comics,1062505.38
23,Webseries,1034208.61
15,Design,1028583.25
20,Theater,1027780.94
74,"Children's Books",998078.65
92,Wearables,944451.49
46,Publishing,939570.87
34,Accessories,932505.64
31,Art,861896.58
91,"Country & Folk",822163.04
28,Photography,814740.83
112,"Science Fiction",798719.58
17,"Art Books",693154.94
70,"Playing Cards",676871.74
35,Rock,663167.04
26,"Public Art",661220.09
79,"Graphic Novels",609267.42
33,Fiction,589015.72
83,Sound,552435.40
5,Restaurants,530125.94
61,Photobooks,512223.04
16,"Comic Books",507561.25
88,"Classical Music",481056.38
80,"Fabrication Tools",455963.69
54,Comedy,437717.44
67,Flight,426303.74
7,Drinks,409483.34
94,Journalism,394854.03
50,Apps,384513.84
29,Pop,367858.96
140,Robots,361017.91
57,Dance,357698.54
125,Footwear,354296.14
98,Horror,346945.23
146,"Interactive Design",344390.06
62,Drama,341534.26
12,Crafts,330116.92
105,"Camera Equipment",327366.04
41,Jazz,313151.85
106,Jewelry,308086.21
110,Webcomics,303230.84
13,Games,300810.74
100,"Small Batch",296327.65
37,Software,277328.48
27,Illustration,270395.49
49,"Radio & Podcasts",268034.39
19,Childrenswear,259043.12
59,Painting,240243.15
56,Periodicals,228248.71
45,Anthologies,224451.99
60,"World Music",211396.31
121,Faith,208881.82
76,"Performance Art",205674.87
93,"Mixed Media",201275.24
101,Installations,192402.96
97,"Digital Art",173355.94
118,Plays,171453.55
136,Television,160249.34
87,Events,155470.21
107,Farms,148273.65
25,"Food Trucks",144362.82
63,Architecture,138059.81
90,Spaces,125816.22
68,"Fine Art",119543.71
81,Performances,118946.92
1,Poetry,110275.13
134,"Gaming Hardware",103899.21
109,Fantasy,103140.89
55,Hip-Hop,99333.08
129,Musical,98621.57
48,"Electronic Music",97360.46
78,Vegan,86847.11
111,Experimental,76375.33
115,"Music Videos",74119.75
155,"Literary Journals",74112.97
30,People,73885.47
73,Thrillers,69149.09
43,Festivals,66677.05
71,Makerspaces,64028.02
53,Metal,62713.85
127,Academic,61314.33
77,Ceramics,60226.96
153,"Civic Design",57422.01
132,Immersive,54257.25
22,DIY,52542.32
108,"Conceptual Art",52396.27
99,Knitting,50540.50
85,Print,48203.83
114,R&B,42308.59
64,"Young Adult",40447.05
102,"Community Gardens",39972.31
116,Calendars,38925.10
123,Woodworking,38770.68
72,Punk,36728.59
42,Ready-to-wear,35843.38
122,"Live Games",34546.66
32,Family,34237.56
154,Kids,34165.32
69,Action,31779.45
145,Pottery,30895.27
120,Bacon,28749.52
151,Printing,27557.30
138,Couture,26233.70
51,Cookbooks,24831.64
128,Zines,22699.55
150,"Pet Fashion",20596.07
86,"Farmer's Markets",19839.25
66,"Mobile Games",19533.30
143,Translations,18982.27
152,Romance,18170.86
84,Stationery,17768.31
113,Puzzles,17459.90
147,"Video Art",14059.80
96,Animals,13554.16
141,Typography,13442.83
133,Letterpress,12675.21
119,Blues,11185.07
124,Places,10589.87
95,"Movie Theaters",9814.39
117,Video,7602.79
130,Workshops,6175.00
38,Weaving,5706.23
159,Residencies,5515.42
139,Nature,3148.95
156,Taxidermy,2781.39
104,Embroidery,2467.00
148,Quilts,1388.05
144,Textiles,1010.59
75,Audio,792.39
135,Candles,553.22
131,Photo,523.40
65,Latin,268.00
142,Crochet,210.99
149,Glass,150.00
